Table with row headers in column A and column headers in row 4,,,,,,,,,,,
"CORE BASED STATISTICAL AREAS (CBSAs) AND COMBINED STATISTICAL AREAS (CSAs), ",,,,,,,,,,,
DECEMBER 2009,,,,,,,,,,,
CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS,County Status
12580,,548,"Baltimore-Towson, MD",Metropolitan Statistical Area,1,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Baltimore County,Maryland,24005,Central
12580,,548,"Baltimore-Towson, MD",Metropolitan Statistical Area,1,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Carroll County,Maryland,24013,Outlying
12580,,548,"Baltimore-Towson, MD",Metropolitan Statistical Area,1,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Harford County,Maryland,24025,Outlying
12580,,548,"Baltimore-Towson, MD",Metropolitan Statistical Area,1,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Howard County,Maryland,24027,Central
12580,,548,"Baltimore-Towson, MD",Metropolitan Statistical Area,1,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Queen Anne's County,Maryland,24035,Outlying
12580,,548,"Baltimore-Towson, MD",Metropolitan Statistical Area,1,,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV",Baltimore city,Maryland,24510,Central
12620,,,"Bangor, ME",Metropolitan Statistical Area,1,,,Penobscot County,Maine,23019,Central
12660,,358,"Baraboo, WI",Micropolitan Statistical Area,2,,"Madison-Baraboo, WI",Sauk County,Wisconsin,55111,Central
12700,,,"Barnstable Town, MA",Metropolitan Statistical Area,1,,,Barnstable County,Massachusetts,25001,Central
12740,,,"Barre, VT",Micropolitan Statistical Area,2,,,Washington County,Vermont,50023,Central
12780,,538,"Bartlesville, OK",Micropolitan Statistical Area,2,,"Tulsa-Bartlesville, OK",Washington County,Oklahoma,40147,Central
12820,,384,"Bastrop, LA",Micropolitan Statistical Area,2,,"Monroe-Bastrop, LA",Morehouse Parish,Louisiana,22067,Central
12860,,464,"Batavia, NY",Micropolitan Statistical Area,2,,"Rochester-Batavia-Seneca Falls, NY",Genesee County,New York,36037,Central
12900,,,"Batesville, AR",Micropolitan Statistical Area,2,,,Independence County,Arkansas,05063,Central
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",Ascension Parish,Louisiana,22005,Central
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",East Baton Rouge Parish,Louisiana,22033,Central
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",East Feliciana Parish,Louisiana,22037,Outlying
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",Iberville Parish,Louisiana,22047,Outlying
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",Livingston Parish,Louisiana,22063,Central
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",Pointe Coupee Parish,Louisiana,22077,Outlying
12940,,132,"Baton Rouge, LA",Metropolitan Statistical Area,1,,"Baton Rouge-Pierre Part, LA",St. Helena Parish,Louisiana,22091,Outlying
